                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5033,                 1.7396,                 1.1156,                0.65724,                0.53228,                0.57694,                0.35652,                 1.2395,                 1.0755,                  1.004,             0.00033243,             0.00033243,             0.00033243
                      2,                 1.3474,                  1.164,                 1.0761,                0.74616,                0.58899,                0.67903,                0.41762,                 1.2166,                0.91364,                 1.0217,             0.00065918,             0.00065918,             0.00065918
                      3,                  1.298,                 1.0292,                 1.0624,                 0.7452,                0.61148,                0.69373,                0.43269,                 1.1752,                0.89932,                 1.0143,             0.00097932,             0.00097932,             0.00097932
                      4,                 1.2531,                0.94039,                 1.0462,                 0.7913,                0.65325,                0.74795,                0.46877,                 1.1533,                0.81631,                 1.0003,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.2203,                0.88844,                  1.034,                0.81181,                0.71101,                0.79805,                0.51103,                  1.121,                0.74077,                0.99114,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.1936,                0.85234,                  1.024,                0.85886,                0.68805,                0.80057,                0.53214,                 1.0647,                0.72281,                0.98068,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.1626,                0.82106,                 1.0161,                0.85894,                0.72559,                0.82338,                0.54342,                 1.0236,                 0.6915,                0.96219,              0.0009406,              0.0009406,              0.0009406
                      8,                   1.14,                0.79111,                 1.0085,                0.85711,                0.74143,                0.84086,                 0.5683,                 1.0056,                0.66575,                0.95532,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.1244,                0.76737,                0.99727,                0.90882,                0.74043,                0.85952,                0.58793,                 1.0041,                0.64846,                0.95147,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.0993,                0.74905,                0.99114,                0.88527,                0.77019,                0.87368,                0.60489,                0.97862,                0.62698,                0.94689,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.0901,                0.73605,                 0.9891,                0.88245,                0.76463,                0.86834,                0.60349,                0.96009,                0.61386,                0.94483,               0.000901,               0.000901,               0.000901
                     12,                 1.0692,                0.72182,                0.98213,                0.90781,                0.76666,                0.88479,                 0.6179,                0.95262,                0.60304,                0.94053,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.0683,                0.71215,                0.98111,                0.89687,                0.79131,                0.89471,                0.62751,                 0.9479,                0.58898,                0.93386,              0.0008812,              0.0008812,              0.0008812
                     14,                   1.06,                0.70566,                 0.9778,                0.90161,                0.79832,                0.89464,                0.64628,                0.92188,                0.58195,                0.93264,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.0342,                0.68668,                0.97009,                0.88939,                0.80033,                0.90125,                0.64014,                0.90736,                 0.5679,                0.91854,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.0262,                0.67504,                0.96665,                0.90116,                0.82077,                0.90953,                0.65488,                  0.905,                0.56732,                0.91986,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.0222,                0.67052,                0.96538,                0.90006,                 0.8058,                0.90732,                0.64638,                0.89839,                0.56037,                0.92731,              0.0008416,              0.0008416,              0.0008416
